Id_exclusiva;Id;EDT;Nível_da_estrutura_de_tópicos;Nome;Área;Número7;Número8
0;0;0;0;Cronograma Operacional - PFBT01 2025;;82;82
1;1;1;1;Parada Fria da Usina 1;;82;82
98;2;1.1;2;Corte da Produção;;100;100
474;3;1.2;2;Procedimentos de Parada;;100;100
475;4;1.2.1;3;Pátio de Alimentação;;100;100
5;5;1.2.1.1;4;Cortar Produção do Pátio de Finos (Parar Pátio Vazio);;100;100
6;6;1.2.1.2;4;Posicionar Recuperadora na Baliza para Limpeza (Fora da Área de Manutenção);;100;100
9;7;1.2.1.3;4;Bloquear e Realizar Limpeza Geral 1PA11;;100;100
10;8;1.2.1.4;4;Esvaziar e Limpar Chutes do Circuito de Alimentação (Transportadores de Correia e Chutes);;100;100
16;9;1.2.1.5;4;Posicionar Emenda das Correias Conforme Necessidade;;100;100
14;10;1.2.1.6;4;Desbloquear e Transladar 1PA11 para Baliza de Manutenção;;100;100
17;11;1.2.1.7;4;Realizar Bloqueio da 1PA11;;100;100
18;12;1.2.1.8;4;Realizar Bloqueio do Circuito do Pátio de Finos;;100;100
13055;13;1.2.2;3;Secagem;;100;100
13056;14;1.2.2.1;4;Esvaziar Silo 1SM2SI;;100;100
13057;15;1.2.2.2;4;Esvaziar Secador 1SM5SC;;100;100
13058;16;1.2.2.3;4;Realizar Limpeza do Filtro de Manga 1SM20FM;;100;100
13059;17;1.2.2.4;4;Desligar e Resfriar Queimadores 1SM6GG;;100;100
13060;18;1.2.2.5;4;Realizar Purga do Gás do Queimador;;100;100
13097;19;1.2.2.6;4;Esvaziar Circuito da Secagem (Chutes de Trasnferência e Correias);;100;100
13061;20;1.2.2.7;4;Realizar Bloqueio da Secagem;;100;100
7749;21;1.2.3;3;Torre de Resfriamento;;100;100
13085;22;1.2.3.1;4;TR301TR (Forno / Ventiladores);;100;100
13109;23;1.2.3.1.1;5;Desligar Bomba TR303;;100;100
13112;24;1.2.3.1.2;5;Instalar Mangote de Água para Alimentar Supervisório do CCO 1 e 4;;100;100
13086;25;1.2.3.1.3;5;Esvaziar Torre de Resfriamento;;100;100
13087;26;1.2.3.1.4;5;Realizar Bloqueio;;100;100
13088;27;1.2.3.1.5;5;Montar Andaime;;100;100
13089;28;1.2.3.1.6;5;Realizar Limpeza da Torre TR301TR;;100;100
481;29;1.2.4;3;Mistura;;100;100
13068;30;1.2.4.1;4;Esvaziar Silos BV100SI e BV101SI;;100;100
13098;31;1.2.4.2;4;Esvaziar Caixa do AZ110FM;;100;100
161;32;1.2.4.3;4;Esvaziar Misturador AZ05MI e Circuito de Correias;;100;100
164;33;1.2.4.4;4;Realizar Bloqueio da Mistura;;100;100
480;34;1.2.5;3;Briquetagem;;100;100
184;35;1.2.5.1;4;Esvaziar Silos AG100SI / AG101SI / AG102SI;;100;100
11990;36;1.2.5.2;4;Esvaziar Briquetadeiras AG71RB / AG74RB / AG77RB;;100;100
181;37;1.2.5.3;4;Esvaziar Circuito de Correias da Briquetagem;;100;100
13069;38;1.2.5.4;4;Realizar Bloqueio da Briquetagem;;100;100
11983;39;1.2.5.5;4;Procedimento de Limpeza da Peneira de Rolos Concluído;;100;100
479;40;1.2.6;3;Forno;;100;100
217;41;1.2.6.1;4;Esvaziar Grelha do Forno;;100;100
11981;42;1.2.6.2;4;Realizar Limpeza dos Motores da Peneira de Rolos;;100;100
13099;43;1.2.6.3;4;Corte de Produção do Forno;;100;100
209;44;1.2.6.4;4;Realizar Procedimento para Não Utilizar NR20 na Região do Forno;;100;100
213;45;1.2.6.5;4;Realizar Resfriamento Forçado até a Temperatura Ambiente (AH30VT em Abertura Mínima / AH47VT / AH93VT / AH34VT);;100;100
